game_id,pot_size,num_players,has_flop,has_turn,has_river,has_raise,has_all_in,did_show,is_bluff,winner
787010830,5.0,9,0,0,0,1,0,0,1,PANDAisEVIL
787010804,1.0,8,0,0,0,0,0,0,0,ElvenEyes
787010581,2.5,8,0,0,0,1,0,0,1,IlxxxlI
787010541,16.5,6,0,0,0,1,0,0,1,gust
787010523,2.5,5,0,0,0,1,0,0,1,gust
787010496,0.5,6,0,0,0,0,0,0,0,foreseen
787010371,11.0,9,0,0,0,1,0,0,1,StephCurry
787010225,3.8,5,1,0,0,1,0,0,1,gust
787010207,2.5,6,0,0,0,1,0,0,1,gust
787010101,10.45,9,1,0,0,1,0,0,1,thimk
787009986,4.28,8,1,1,0,1,0,0,1,VegetablesArentYummy
787010010,2.5,5,0,0,0,1,0,0,1,Sephiroth1
787009983,19.0,6,1,1,1,0,0,1,0,IlxxxlI
787009953,443.3,6,1,1,1,1,0,1,0,VegetablesArentYummy
787009759,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787009754,2.5,5,0,0,0,1,0,0,1,IlxxxlI
787009724,5.0,8,0,0,0,1,0,0,1,StephCurry
787009668,2.5,8,0,0,0,1,0,0,1,VegetablesArentYummy
787009616,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787009581,1.0,6,0,0,0,0,0,0,0,LloydXmas
787009553,42.5,6,0,0,0,1,0,0,1,LloydXmas
787009544,2.0,7,0,0,0,0,0,0,0,hotshothotgg
787009456,27.08,5,1,1,1,1,0,0,1,IlxxxlI
787009397,5.23,8,1,0,0,1,0,0,1,VegetablesArentYummy
787009396,2.0,6,0,0,0,0,0,0,0,IlxxxlI
787009330,2.0,7,0,0,0,0,0,0,0,StephCurry
787009276,2.5,6,0,0,0,1,0,0,1,IlxxxlI
787009263,5.0,6,0,0,0,1,0,0,1,MadLifeGrinder
787009163,31.83,6,1,1,1,1,0,0,1,WeakAndWeary
787009112,4.28,6,1,0,0,1,0,0,1,gust
787009102,5.0,6,0,0,0,1,0,0,1,DonCesarGrinder
787009067,2.5,6,0,0,0,1,0,0,1,ElvenEyes
787009017,1.0,6,0,0,0,0,0,0,0,WeakAndWeary
787008901,2.0,6,0,0,0,1,0,0,1,ElvenEyes
787008882,26.0,5,1,1,1,1,0,1,0,IlxxxlI
787008749,8.55,6,0,0,0,1,0,0,1,BiGFck
